Page,Summary
Page 1,MTech AIS Sample Exam Paper: Intelligent Sensing Systems NUS-ISS MASTER OF TECHNOLOGY IN ARTIFICIAL INTELLIGENT SYSTEMS Graduate Certificate Examination Sample Exam Questions Subject: Intelligent
Page 2,you are engaged by a community club to develop various solutions to addre ss its needs . provide a real-time human counting system that reminds residents not to enter the reception waiting area if i t is
Page 3,every Singapore household can receive a free 500ml of zero -alcohol hand sanitizer . a temporary collection counter is set up in the community club . you are asked to develop a portable stereo
Page 4,"residents have various types of exercises in the sports hall of the community club . to provide a better exercise faci lity resource planning, you are asked to develop a human action recognition system for four categories (i.e.,"
Page 5,hawker centres are a unique aspect of Singaporean culture . you are engaged by an AI company to develop an intelligent sensing system . use case 1: to ensure a sa fe environment for community bond
Page 6,you are asked to design a centralized video surveillance system for efficient facility management . it has the following three requirements listed in Table 3. You need to describe the technical flow chart of your proposed solution and describe what computer vision methods need to be
Page 7,speech recognition is provided so that diners can perform voice enquiry . face masks are an important tool in daily life to prevent the spreading of COVID -19 in the New Normal .
Page 8,"the self-service kiosk provides a food enquiry service . the diner can show a stall photo, then the system compares it to the reference photos in the reference database, and returns the most similar photo to tell the din"
Page 9,"the hawker centre has an automated tray-clearing system . customers are charged an extra $1 if they use a tray, and this fee is refunded when the tray is returned at the designated point . the"
Overall Summary,"a few precautionary measures have been implemented by this community club . you are asked to develop an intelligent sensing system to provide the following two objectives . provide a real-time human counting system that reminds residents not to enter the reception waiting area if i t is over-crowded (e.g., 6 persons)"
