Page,Summary
Page 1,"Skill 1: Pre-process textual data for analytics • Skill 2: Categorize documents using classification, topic modelling or clustering . Skill 3: Extraction information from text Module 1: Text Analytics (3 days)"
Page 2,"Text Analytics (3 Days) provides the knowledge and skills required to effectively analyse large amounts of textual data to discover themes, patterns and trends . participants will be able to: • Pre-process data for analytics; • Categorize"
Page 3,new media and Sentiment mining (3 Days) Description: This course further extends the text mining knowledge and skillsets to design sentiment analysis system . participants will be able to: • Identify where sentiment analysis can be applied
Page 4,this course provides the knowledge and practical skills to perform deep learning based text processing in common tasks encountered in industries . participants will be able to: • Identify common tasks that industry has with textual data . Acquire proficiency
Page 5,this course provides the knowledge and practical skills to design and build systems that can interact with users using spoken or written natural language . participants will be able to: • Determine the roles that systems with conversational UI can play in fielde
Page 6,questions will cover the topics taught in all 4 courses . Practice module (50%) – Team-based project to apply various techniques learned in the 4 courses 6 2022 .
Page 7,"system should perform at least two text mining tasks, e.g. text classification, text clustering, topic modelling, information extraction, collocation detection, sequence labelling, text generation, summarisation, etc."
Page 8,"Presentation slides System 20% - System, source codes, datasets - Adequate documentation to run it . short demo video (5mins) highlighting the functionalities of your system Report 15% 20 pages, describing"
Page 9,movie recommendation bot that also generates sentiment overview of viewers about movies . chatbot that generates poems based on keywords and sentiment requirements . QA bot answering customer questions on products .
Overall Summary,"students can build language processing systems that support business decisions using information in the language data . Upon completion, participants will be able to: • Pre-process textual data for analytics; • Categorize documents using classification, topic modelling or clustering • Skill 1: Extract entities and aspects from opinions ."
