Question	Can I transpose a piece of music into another key?
Answer	To transpose a piece of music into another key
Question	If I can already play some music without knowing music theory
Answer	Plenty of people in the world can’t read or write
Question	How does knowing theory help me memorize a piece of music?
Answer	If you know scales
Question	Do I need to know theory if I just play drums?
Answer	A lot of drummers
Question	Is there a quick and easy way to learn to read music?
Answer	All first-year music students are given a couple of cheesy mnemonics to help them memorize the lines and spaces of the treble and bass clefs. Treble clef (from bottom to top of staff) Notes on the lines
Question	How do I identify a key based on the key signature?
Answer	If you know whether a piece of music is written in a major or minor key
Question	Why is music theory important?
Answer	Music theory helps people better understand music. The more you know about music theory
Question	Where do the 12 musical notes come from?
Answer	Many theories abound regarding the origin of the 12 notes used in music today. Some people think their origin is in math. The number 12 is easily divisible by the numbers 2
Question	Will learning music theory hinder my ability to improvise?
Answer	Learning proper grammar didn’t keep you from using slang or swearing
Question	Why is so much music theory centered on the piano keyboard?
Answer	A keyboard instrument
Question	What did you do about the Groove Music Pass customers who are over their OneDrive free storage plan limit?
Answer	Microsoft followed up directly with the small number of Groove Music Pass customers in this situation and provided options to take care of their needs.
Question	When moving my music to Spotify
Answer	To effectively move your music to Spotify
Question	I bought a Groove Music Pass and haven’t redeemed it. What are my options?
Answer	As of October 2
Question	What's happening to the Groove Music app?
Answer	We’ll continue to update the Windows 10 Groove Music apps for PC
Question	Will I still be able to play music I purchased from the Microsoft Store?
Answer	If you downloaded your purchased music to your devices before December 31
Question	Can I still move my music to Spotify?
Answer	No. When Microsoft announced the discontinuation of the Groove Music Pass streaming service on October 2
Question	As a part of my Groove Music Pass subscription
Answer	If OneDrive storage was included in your Groove Music Pass subscription
Question	I got my Groove Music Pass as part of a promotional offer. Am I eligible for a refund?
Answer	No. If you got your Groove Music Pass for free
Question	What’s happening to Groove Music on iOS and Android?
Answer	The Groove Music iOS and Android apps were removed from download from the Apple App Store and the Google Play Store on June 1
Question	Will I still be able to play my local music files?
Answer	Yes. Local files will still be playable with the Windows 10 Groove Music apps for PC and Windows Phone.
Question	I pre-paid for an annual Groove Music Pass. What were my options?
Answer	Your recurring annual Groove Music Pass continued through December 31
Question	What happened to my purchased music if I didn't download it?
Answer	When Microsoft announced the discontinuation of the Groove Music Pass streaming service on October 2
Question	I was a monthly Groove Music Pass subscriber. What were my options?
Answer	If your subscription extended beyond December 31
Question	What happened to my music after I moved it to Spotify?
Answer	All the music that had a match in Spotify’s catalog now appears in your Spotify library and playlists. All your purchased or uploaded non-Groove Music Pass music will remain untouched in the Windows 10 and Xbox Groove Music apps. Music you own and that is stored locally on your hard drive or on OneDrive is untouched and will continue to be playable from your local hard drive through the Windows 10 and Xbox Groove Music apps.
Question	What happened to the Groove Music Pass?
Answer	The Groove Music Pass streaming service was discontinued on January 1
Question	music streaming apps are available for Windows?
Answer	Depending on your region
Question	Will I still be able to play music I downloaded with Music Pass?
Answer	No. As of December 31
Question	I wasn't a Groove Music Pass subscriber. How does this affect me?
Answer	Nothing has changed for you. You can continue to play your local
Question	Does Spotify stream from OneDrive?
Answer	No. Spotify doesn’t stream music from OneDrive. Music you upload to your OneDrive music folder can still be downloaded to a PC for playback in the Windows 10 Groove Music app.
Question	I was a Groove Music Pass subscriber. Will my subscription automatically transfer to Spotify?
Answer	No. If you want access to tens of millions of streaming songs at no cost
Question	I can’t find all my music from Groove after moving my collection to Spotify. What happened to it?
Answer	We did our best to preserve your collection and playlists when moving
Question	What was Groove Music Pass content?
Answer	Groove Music Pass content was music and music videos that could be streamed or downloaded during your Groove Music Pass subscription. The Music Pass provided you with a streaming service of songs you didn’t need to own locally to play
Question	Can I still download all my purchased music?
Answer	No. When Microsoft announced the discontinuation of the Groove Music Pass streaming service on October 2
Question	Will I still be able to play music from OneDrive?
Answer	No. On March 31
Question	Will you use my email for anything else?
Answer	Nah dawg. Your information is private; we won’t share it anywhere or with anyone. We might send you the occasional company update or invite to a rad event though.
Question	I’d like to see A Song A Day keep going
Answer	Well
Question	Is there a playlist of all the songs you’ve sent me?
Answer	We don’t currently offer official playlists for all your songs. If playlists are something you’d like to see or if you have any other feature requests
Question	I'd like to sponsor your emails
Answer	Great! Send an email to Shannon at shannon@asongaday.co.
Question	I’m an artist or label
Answer	Fill out this form and we’ll be in touch if we share your music with our subscribers. If you want to premier a track or are interested in a special feature such as an interview
Question	What format do you send the songs in?
Answer	All songs link to an open stream
Question	How do I become a curator?
Answer	Tell us a bit about who you are and the music you love here. It might take us a while to touch base so feel free to follow up! We’re growing the community slow and steady.
Question	How do I unsubscribe?
Answer	"Scroll to the bottom of any song email and select ""unsubscribe."" If for some reason you're still getting emails from us"
Question	I’d like to play one of your rad shows. Who can I talk to?
Answer	Sweet! Send Shannon an email at shannon@asongaday.co.
Question	What other large datasets are available?
Answer	We mention some other sources of data related to Music Information Retrieval research. THIS IS NOT AN EXHAUSTIVE LIST! If you want your dataset to be included here
Question	How can I get the dataset?
Answer	See tab Getting the dataset. There you will also find a subset to get you started quickly.
Question	Statistics of the dataset
Answer	1
Question	Why are there more artist names than artist IDs?
Answer	If you count the artist names
Question	What is the format of the data files?
Answer	Each file represents one track with all the related information (artist information
Question	Can I add my audio to the dataset?
Answer	In the sense of having your audio analyzed and put in HDF5 format like the rest of the dataset
Question	What publications use the dataset?
Answer	We try to maintain an informal list here
Question	How can I organize all this data?
Answer	Gordon! (more to come on this). We have also created three SQLite databases
Question	How can I extend the dataset?
Answer	If you have data that could be linked with the Million Song Dataset
Question	Can I contact you privately to get the audio?
Answer	The Echo Nest data is released under the same terms of use as their API. For a more readable version of the TOS
Question	"What is the difference between ""terms"" and ""mbtags""?"
Answer	Terms are the tags provided by The Echo Nest. They can come from a number of places
Question	Where can I get help?
Answer	Check to see if someone has brought up a similar issue in the forums; if not
Question	Why aren't the strings displaying correctly?
Answer	All data was downloaded in utf-8 format and was saved in the HDF5 file in utf-8 format. We hoped that this would ensure that every name / release / title will display correctly if you set your display to utf-8
Question	What is in the dataset?
Answer	Good question
Question	How was the dataset created?
Answer	We used The Echo Nest API and some information from a local copy of the musicbrainz server. Data was downloaded during December 2010. For more information on how we chose the tracks
Question	Can I recover audio from the features?
Answer	"Or ""can I reverse engineer the features?"". Well... you should try! Dan Ellis provided MATLAB code to do something like this"
Question	How do I cite the dataset?
Answer	Check the Contact Us tab.
Question	What can I do with this data?
Answer	Surprise us! But you might want a take a look at the tasks / demos tab to get inspired. That page incudes snippets of code to help you crawl through the whole dataset. This recent article provides a wide-ranging survey of existing Music Information Retrieval classification tasks.
Question	Why didn't you build an API?
Answer	APIs have a lot of merit
Question	How can I visualize a file?
Answer	A common first thing you might want to do is quickly glance at the numerical content of a data file. How you do this of course depends on the language you want to use. In each case
Question	How can I get involved?
Answer	Fields 'year'
Question	Will I get back the same data if I access The Echo Nest API?
Answer	Probably not
Question	What are song / aggregate / summary files?
Answer	"A ""song file"" refers to the typical HDF5 file containing information for only one song. An ""aggregate file"" is also an HDF5 file that contains the information for several songs. These are useful if you do I/O intensive experiments"
Question	What are these weird file paths?
Answer	We could not put a million files in one folder. Even a few thousand files in one directory can slow disk accesses significantly. We based the directory structure on The Echo Nest track IDs which are a kind of hash code. Echo Nest track IDs always take the form TR+LETTERS+LETTERS&NUMBERS. The directory path within the Million Song Dataset is the 3rd
Question	Is there any vocal training?
Answer	Let’s Play Music adheres to the philosophy that the voice is the first musical instrument. Most of class time is spent singing. The voice is trained to sing in tune
Question	How long and how frequent are the classes?
Answer	Classes are taught weekly. 1st year
Question	What are the main instruments for the 1st Year?
Answer	Three main instruments are utilized in the 1st Year. The first is the singing voice. We sing
Question	Isn’t age 4-5 too young to learn piano?
Answer	Research has proven that age 4-5 is an ideal age for music instruction. The ears are at prime listening capacity and the brain is busy connecting a network of neurons. Let’s Play Music captures this opportunity window by training the ears without requiring the finger strength or dexterity that a piano does.
Question	Why are they group lessons?
Answer	It has been well documented that children in group settings learn and perform better. They are more comfortable and stimulated in this environment. They thrive on the synergy and playful interaction of the Let’s Play Music class. Visit the Philosophy page for complete information.
Question	What are the main instruments for the 2nd and 3rd Years?
Answer	The piano becomes the instrument for instruction and practice in the 2nd and 3rd Years. Each child plays on his/her own full size keyboard in class and needs one for practice at home. Because of the intensive training in staff reading during the first year
Question	What is the parent involvement?
Answer	Parent involvement in music training is crucial. Parents are involved at home and in class. The 1st Year
Question	How is the curriculum calendar structured?
Answer	The curriculum is organized into 6 sequential semesters spanning 3 years. It follows the regular school year (September-May). Visit the Curriculum page for complete information
Question	How can you teach note-reading to a child who doesn’t know his letters?
Answer	In the 1st Year
Question	What do students do after 3 years of Let’s Play Music?
Answer	There is a beautiful balance of ear training and note reading in Let’s Play Music. Note reading is not delayed and the traditional letter names are taught so that graduates make a smooth transition to traditional private piano lessons.
Question	How big are the classes?
Answer	Optimum class size is 6-7 children
Question	Can I register for the 2nd or 3rd Year without having been through the 1st Year?
Answer	No. Let’s Play Music is highly sequential
Question	The information about an artist or album on AllMusic is incorrect. 
Answer	Factual information about credits
Question	How do I submit an album to AllMusic? 
Answer	Albums should be sent to our data provider
Question	How do I submit a biography or photo to AllMusic? 
Answer	Artist biographies and artist/recording images are provided by our data provider
Question	How do I update a biography on AllMusic? 
Answer	Updates to biographies should be sent to our data provider
Question	How do I update an artist photo on AllMusic? 
Answer	New and updated photos should be sent to our data provider
Question	How do I update my credits on AllMusic? 
Answer	Updates to credits should be sent to our data provider
Question	How do I add lyrics to AllMusic? 
Answer	We no longer provide lyric display on AllMusic.
Question	How do I get wrong lyrics corrected? 
Answer	We no longer provide lyric display on AllMusic.
Question	AllMusic has my credits assigned to multiple people. How do I combine them? 
Answer	Artists who have recorded under different names or who are credited differently across different liner notes may be attributed to different AllMusic pages. To get them properly combined
Question	AllMusic has my credits combined with somebody else's. How can these be split up? 
Answer	Artists with the same or very similar names are accidentally combined on occasion by our data provider TiVo. To get them properly split TiVo editors use a 1 to 5 star system. It is important to note that albums are rated only within the scope of an artist's own work; we won't compare a Miles Davis album to the latest album by Britney Spears.Editors may choose to revisit an artist's discography
Question	How do you determine an album or track pick? 
Answer	When looking at an artist's discography
Question	What is Editors' Choice? 
Answer	Each month
Question	What are Staff Picks? 
Answer	Every day our editorial team selects a different album to highlight on the home page of AllMusic. This may be a recent discovery
Question	"What does ""Associated With"" mean (under Related on an artist page)? "
Answer	If the artist is an individual
Question	"What does ""Collaborated With"" mean (under Related on an artist page)? "
Answer	This represents a behind-the-scenes musical partnership
Question	"What does ""Followed By"" mean (under Related on an artist page)? "
Answer	Artists who were influenced by the selected artist. This may be directly called out from research and interviews
Question	"What does ""Influenced By"" mean (under Related on an artist page)? "
Answer	Artists that have had a direct musical influence on
Question	"What does ""Similar To"" mean (under Related on an artist page)? "
Answer	Artists that share similarities with the selected artists. These are artists that sound similar
Question	"What does ""Group Members"" mean? "
Answer	Past and current members of the selected band.
Question	"What does ""Member Of"" mean? "
Answer	Band(s) that the selected artist is
Question	What are Genres? 
Answer	Genres should be seen as the broad categorization of music into a grouping. Things like jazz
Question	What are Styles? 
Answer	Styles are more specific sub-categories of music that fall under the broad genres. They usually relate to a specific time period (like power pop
Question	What are Themes? 
Answer	Activities or events particularly suited for a song
Question	What are Moods? 
Answer	Adjectives that describe the sound and feel of a song
Question	What are User Ratings? 
Answer	By creating an AllMusic account
Question	How do you come up with your album recommendations? 
Answer	By rating albums
Question	What are Lists? 
Answer	Lists is a feature on AllMusic that lets you create custom lists of albums you want to check out
Question	What is My Collection? 
Answer	Dedicated music fans who want to track which albums they own can now add albums to their collection list with a single click by visiting an album page. Or
Question	"What are New Release Notifications? Why should I ""Follow"" an artist? "
Answer	"Registered users can ""Follow"" a band or musician on the artist page by clicking the ""Follow Artist"" button under an artist's name. If an artist you are following releases a new album or single"
Question	What is a User Profile? 
Answer	"User Profiles allow you to share your lists and collection. Navigate to the Profile Settings page in your user account and create your unique URL. You can see your profile page by clicking on ""My Profile"" at the top of any page. Once you’ve created your user profile"
Question	Do you have a mobile app? What is AllMusic Roundup? 
Answer	AllMusic Roundup was an iOS companion app to the AllMusic website
Question	I need help with a function on AllMusic that just isn't working. 
Answer	Sometimes we hear about problems like this if a user is using a very old browser version. We support current versions of most browsers
Question	Track samples aren't working. 
Answer	Sometimes we hear about problems like this if a user is using a very old browser version. We support current versions of most browsers
Question	How do I download or purchase music on your site? 
Answer	We do not sell any products directly on our site. When applicable
Question	What happened to the Billboard chart info? 
Answer	Billboard has changed their licensing terms and the cost associated with licensing that information to display on AllMusic was way WAY more than we can afford. We're pretty bummed about it but we simply can't afford to license the information from them anymore.
Question	How can I submit an idea for a new feature on AllMusic? 
Answer	Feature requests or any feedback related to AllMusic can be sent via our feedback form or by posting your idea on our Get Satisfaction page.
Question	How can I submit a suggestion for an improvement to an existing feature on AllMusic? 
Answer	Feature requests or any feedback related to AllMusic can be sent via our feedback form or by posting your idea on our Get Satisfaction page.
Question	What is an AllMusic subscription? What does it offer? 
Answer	By subscribing to support AllMusic you receive a number of benefits including an ad-free experience
Question	I can't log in to my AllMusic account. 
Answer	If you had an account dating back before 2007 and you're trying to log in with those credentials
Question	How can I get my Rovi ID? 
Answer	If you have been instructed to get your Rovi ID
Question	How do I take control of an artist page? 
Answer	AllMusic accounts are not connected to artist pages
Question	I don't agree with an album review. 
Answer	That's the great thing about being a music fan; you can have an opinion about an album that might not be the same as another person's opinion. TiVo editors take into account the history of the band
Question	I don't agree with an album rating. 
Answer	That's the great thing about being a music fan; you can have an opinion about an album that might not be the same as another person's opinion.  TiVo editors use a 1 to 5 star system. It is important to note that albums are rated only within the scope of an artist's own work; we won't compare a Miles Davis album to the latest album by Britney Spears.Editors may choose to revisit an artist's discography
Question	I don't agree with the Genre or Styles for an artist/album. 
Answer	"The AllMusic genre is considered to be a broad umbrella term that may have several styles under it. Occasionally we hear things like ""This band isn't pop/rock"
Question	Why can't I find Bryan Adams on AllMusic? 
Answer	Due to the request of Mr. Adams
Question	Can I get permission to use a song via AllMusic? 
Answer	Neither AllMusic nor TiVo own the rights to any music compositions
Question	Can I get the rights to republish an AllMusic biography or review? 
Answer	All biographies
Question	How do I get in touch with an artist? 
Answer	We do not have any way to get into contact with musicians
Question	Can I write for AllMusic? 
Answer	Our album reviews and artist biographies are provided by a company called TiVo. Their careers page is available here.
Question	How do I upload tracks or digital releases to be displayed on AllMusic? 
Answer	For adding digital-only releases to the database
Question	How do I submit a video to AllMusic? 
Answer	AllMusic does not have a method of allowing artists upload videos to the site. 
Question	Please remove an artist or album from AllMusic (aka takedown request) 
Answer	If your album or artist information is on AllMusic
Question	How did my album get on AllMusic? 
Answer	Album information such as reviews
Question	How do I get Spotify links added to a page on AllMusic? 
Answer	Our links to Spotify are automatically generated. We don't have a method of updating these links manually one-by-one at this time.
Question	How do I get Rdio links added to a page on AllMusic? 
