Question,Answer
Can I transpose a piece of music into another key?,To transpose a piece of music into another key
If I can already play some music without knowing music theory,Plenty of people in the world can’t read or write
How does knowing theory help me memorize a piece of music?,If you know scales
Do I need to know theory if I just play drums?,A lot of drummers
Is there a quick and easy way to learn to read music?,All first-year music students are given a couple of cheesy mnemonics to help them memorize the lines and spaces of the treble and bass clefs. Treble clef (from bottom to top of staff) Notes on the lines
How do I identify a key based on the key signature?,If you know whether a piece of music is written in a major or minor key
Why is music theory important?,Music theory helps people better understand music. The more you know about music theory
Where do the 12 musical notes come from?,Many theories abound regarding the origin of the 12 notes used in music today. Some people think their origin is in math. The number 12 is easily divisible by the numbers 2
Will learning music theory hinder my ability to improvise?,Learning proper grammar didn’t keep you from using slang or swearing
Why is so much music theory centered on the piano keyboard?,A keyboard instrument
What did you do about the Groove Music Pass customers who are over their OneDrive free storage plan limit?,Microsoft followed up directly with the small number of Groove Music Pass customers in this situation and provided options to take care of their needs.
When moving my music to Spotify,To effectively move your music to Spotify
I bought a Groove Music Pass and haven’t redeemed it. What are my options?,As of October 2
What's happening to the Groove Music app?,We’ll continue to update the Windows 10 Groove Music apps for PC
Will I still be able to play music I purchased from the Microsoft Store?,If you downloaded your purchased music to your devices before December 31
Can I still move my music to Spotify?,No. When Microsoft announced the discontinuation of the Groove Music Pass streaming service on October 2
As a part of my Groove Music Pass subscription,If OneDrive storage was included in your Groove Music Pass subscription
I got my Groove Music Pass as part of a promotional offer. Am I eligible for a refund?,No. If you got your Groove Music Pass for free
What’s happening to Groove Music on iOS and Android?,The Groove Music iOS and Android apps were removed from download from the Apple App Store and the Google Play Store on June 1
Will I still be able to play my local music files?,Yes. Local files will still be playable with the Windows 10 Groove Music apps for PC and Windows Phone.
I pre-paid for an annual Groove Music Pass. What were my options?,Your recurring annual Groove Music Pass continued through December 31
What happened to my purchased music if I didn't download it?,When Microsoft announced the discontinuation of the Groove Music Pass streaming service on October 2
I was a monthly Groove Music Pass subscriber. What were my options?,If your subscription extended beyond December 31
What happened to my music after I moved it to Spotify?,All the music that had a match in Spotify’s catalog now appears in your Spotify library and playlists. All your purchased or uploaded non-Groove Music Pass music will remain untouched in the Windows 10 and Xbox Groove Music apps. Music you own and that is stored locally on your hard drive or on OneDrive is untouched and will continue to be playable from your local hard drive through the Windows 10 and Xbox Groove Music apps.
What happened to the Groove Music Pass?,The Groove Music Pass streaming service was discontinued on January 1
music streaming apps are available for Windows?,Depending on your region
Will I still be able to play music I downloaded with Music Pass?,No. As of December 31
I wasn't a Groove Music Pass subscriber. How does this affect me?,Nothing has changed for you. You can continue to play your local
Does Spotify stream from OneDrive?,No. Spotify doesn’t stream music from OneDrive. Music you upload to your OneDrive music folder can still be downloaded to a PC for playback in the Windows 10 Groove Music app.
I was a Groove Music Pass subscriber. Will my subscription automatically transfer to Spotify?,No. If you want access to tens of millions of streaming songs at no cost
I can’t find all my music from Groove after moving my collection to Spotify. What happened to it?,We did our best to preserve your collection and playlists when moving
What was Groove Music Pass content?,Groove Music Pass content was music and music videos that could be streamed or downloaded during your Groove Music Pass subscription. The Music Pass provided you with a streaming service of songs you didn’t need to own locally to play
Can I still download all my purchased music?,No. When Microsoft announced the discontinuation of the Groove Music Pass streaming service on October 2
Will I still be able to play music from OneDrive?,No. On March 31
Will you use my email for anything else?,Nah dawg. Your information is private; we won’t share it anywhere or with anyone. We might send you the occasional company update or invite to a rad event though.
I’d like to see A Song A Day keep going,Well
Is there a playlist of all the songs you’ve sent me?,We don’t currently offer official playlists for all your songs. If playlists are something you’d like to see or if you have any other feature requests
I'd like to sponsor your emails,Great! Send an email to Shannon at shannon@asongaday.co.
I’m an artist or label,Fill out this form and we’ll be in touch if we share your music with our subscribers. If you want to premier a track or are interested in a special feature such as an interview
What format do you send the songs in?,All songs link to an open stream
