Page Number,Summary
1,The first page of the document 'NMSM_day_2.v4.pdf' contains information about the Neural Nets and Word2Vec topic covered on the second day of the NUS NMSM event. It is mentioned that the document is copyrighted by NUS and the contact information of Dr. Wang Aobo is provided. The key points of the topic are likely to be discussed in the document are Neural Networks and Word2Vec.
2,"The second page of the document outlines the agenda for the day, which includes a comparison between statistical modelling and deep neural networks, an introduction to deep learning basics for natural language processing (NLP), a workshop on basic neural networks on Colab, and a discussion on Word2Vec and its use in deep learning. The workshop will cover topics such as CBOW and SkipGram, activation and loss functions, and optimizers and learning rates, with a hands-on exercise on building Word2Vec from scratch."
3,"The document discusses how natural language processing (NLP) works, which involves using machine learning and computer processing to analyze and understand human language. It also includes a section on customer reviews of a high tea experience at Raffles, where the service and location received high ratings but some reviewers noted a decline in glamour over time. The document also mentions a feature matrix for NLP, which involves using supervised and unsupervised learning methods."
4,"The document compares classic Natural Language Processing (NLP) techniques to deep learning approaches. It notes that frequency TF-IDF and PPMI vectors are long and sparse, making them efficient for simple tasks with large datasets. They are also interpretable, as they are designed by human intelligence. However, they struggle to capture contextual dependencies. Examples of the vectors are given, along with a redacted phone number."
5,"The document discusses the use of statistical modelling in various natural language processing tasks, such as document and sentence classification, sequence labeling, language modeling, and machine translation. It mentions specific models that can be used for each task, such as SVM, KNN, Decision Tree, Random Forest, Naïve Bayes, MaxEnt, HMM, CRF, and N-gram. It also suggests combining phrase or tree-based models with beam search for machine translation. The author acknowledges that all models are imperfect, but some can still be useful for these tasks."
6,"NLP (Natural Language Processing) works by using algorithms and machine learning to analyze and understand human language. It can automatically generate a feature matrix and perform tasks independently. The NUS team has developed a system that can generate this matrix and learn from data, making it a useful tool for analyzing large amounts of text data."
7,"NLP (Natural Language Processing) works by using algorithms and machine learning to analyze and understand human language. This can involve tasks such as sentiment analysis, text classification, and language translation. NLP techniques can be supervised or unsupervised, and can use different types of machine learning such as DNN (Deep Neural Networks) or traditional ML (Machine Learning). NLP is used in various applications, such as sentiment analysis of customer reviews, as shown in the example of the Raffles hotel."
8,"Deep learning is a powerful approach in natural language processing (NLP) that creates short, dense, and non-interpretable feature vectors that can capture contextual dependency and are beneficial for various NLP tasks such as classification, sequence labeling, translation, and question-answering. This is in contrast to classic NLP, which relies on human intelligence to create feature vectors and may not be as effective in capturing contextual information."
9,"The agenda for day 2 of the NMSM workshop includes a focus on deep learning basics for natural language processing (NLP), including multi-layer perceptron (MLP) and a quiz on deep learning training routines. Participants will also engage in a workshop on building deep learning models from scratch. The session will also cover Word2Vec and its use in deep learning, including CBOW and SkipGram models, as well as important concepts such as activation functions, loss functions, and optimizers/learning rates. Participants will have the opportunity to apply these concepts in a workshop on building a Word2Vec model from scratch."
10,"The document discusses the basics of deep learning, focusing on the concept of the perceptron. A perceptron is a system that relies on probabilistic principles and statistical measurements from a large population of elements. The human brain is estimated to have around 100 billion perceptrons. Modern deep learning models, such as BERT and GPT, have significantly more parameters, with BERT having 110 million to 17 billion parameters and GPT having 1.5 billion to 175 billion parameters. The image from Akshay Chandra Lagandula's blog shows the potential for even larger models, with the upcoming GPT4 estimated to have even more parameters."
