Page Number,Summary
1,"This document is the property of NUS and cannot be reproduced without written permission. It is part of the Text Analytics Module 3 and is focused on preparing text data for analysis. The author is Dr. Fan Zhenzhen from NUS-ISS, and the document can be contacted via [REDACTED_EMAIL]."
2,"Page 2 provides an overview of the task of text preparation, which involves converting raw text into a format that can be used for analysis. The two main methods of vectorization, or converting text into numerical data, are discussed: the Term-Document Matrix and Embeddings. The Term-Document Matrix represents the frequency of terms in a document, while Embeddings use algorithms to create numerical representations of words and phrases. Both methods are commonly used in natural language processing tasks."
3,"The document discusses the features and uses of a corpus, which is a collection of documents. It mentions that a corpus can be represented as numeric vectors, which can be used for tasks such as document classification and clustering. The document also includes reviews of a hotel in Singapore, with some praising the service and others criticizing the commercialism and tourist atmosphere. The reviews provide examples of how a corpus can be used for sentiment analysis and opinion mining."
4,"Page 4 of the document 'S03 Text Preparation V5.3.pdf' discusses the various sources of text data that can be used for analysis. These include existing business processes, such as customer call feedback, complaints, emails, and employee evaluations, as well as documents such as manuals, contracts, memos, and legal documents. Other sources include web pages, social media data, and various other sources. These sources provide a wealth of information that can be used for text analysis and can greatly benefit businesses."
5,"The document discusses file preprocessing for text data, including common formats such as HTML, Word, Excel, XML, PDF, and TXT. The key tasks involved in preprocessing include deleting formatting tags, removing special characters, detecting and labeling different zones, and determining sentence and paragraph boundaries. Many TA tools have the capability to import text from these formats, including JSON."
6,"The document explains that in a pure text file, the content is represented as plain text without any formatting or graphics. It also includes a review from a customer named travel-gini who gave the hotel a 5-star rating and praised its location, history, and staff. They recommend having a drink in the Long Bar and trying the curry at the Tiffin Room, which they claim is the best in the world. The food is priced at £40 per person, but the selection is excellent. The customer also mentions that the staff provided amazing service and even presented a cake for their wife's birthday. The stay occurred in February 2021."
7,"XML is a widely used standard exchange format in the industry and text-processing community. It allows for the insertion of tags onto a text to identify its parts, such as paragraphs, headings, and sentences. These tags are useful for selecting and extracting specific parts of the text for feature generation in data mining. Many word processors also have the capability to save documents in XML format."
8,"This page discusses the structure of an XML document and provides an example of a review for a hotel. The review highlights the great location and atmosphere of the hotel, as well as the excellent service provided by the staff. The Long Bar and Tiffin Room are also mentioned as must-visit spots, with a recommendation for the delicious curry. The review also mentions the cost of about £40 per person for food and the special birthday surprise for the reviewer's wife. The stay took place in February 2021."
9,JSON is a widely used data format that uses human-readable text to represent structured data in the form of attribute-value pairs and arrays. It is based on JavaScript object syntax and is commonly used in web applications and electronic data interchange.
10,"The example provided is in JSON format and includes a title, rating, date, reviewer, and review content. The review praises the hotel's location and staff, mentioning the unique experience of throwing nutshells on the floor and enjoying a curry at the Tiffin Room. The reviewer also mentions the price and variety of food options, and notes that the staff went above and beyond by presenting a cake for the reviewer's wife's birthday. The stay took place in February 2021."
11,"Page 11 of the document 'S03 Text Preparation V5.3.pdf' discusses vectorization and the creation of a term document matrix. Vectorization is the process of converting text data into a numerical format that can be used for analysis. This is done by creating a term document matrix, which is a table that contains the frequency of each term in a document or corpus. The document also mentions the importance of pre-processing the text data before vectorization, such as removing punctuation and stop words. Additionally, it explains the use of different weighting schemes, such as term frequency-inverse document frequency (TF-IDF), to adjust the importance of terms in the matrix. Overall, vectorization and the term document matrix are essential steps in preparing text"
