Page Number,Summary
1,"The Admin Briefing document provides an overview of the administrative responsibilities and procedures for government agencies in Singapore. It outlines the roles and responsibilities of key personnel, such as the Head of Agency and Admin Officer, and explains the importance of maintaining accurate and timely records. The document also covers topics such as budget management, procurement, and human resource management. It emphasizes the need for efficient and effective administrative processes to support the smooth operation of government agencies and ensure accountability and transparency."
2,"The NUS-ISS welcomes participants to their lifelong learning journey and aims to provide them with necessary skills and knowledge for personal and professional growth. The course materials are protected by copyright and should only be used for personal reference during the course. NUS-ISS offers a variety of programmes in critical industry disciplines and is dedicated to supporting growth through multiple learning pathways. Assistance and information can be obtained through email or phone. The director of Executive Education & Corporate Services, Yum Hui Yuen, wishes participants a productive and fulfilling learning experience."
3,The current public announcement system at NUS-ISS is a two-stage process for emergency situations. The first message is triggered by the fire alarm and informs individuals to remain calm and wait for further instructions. The second message will either confirm a false alarm or instruct individuals to evacuate the building using the nearest exit staircase and following the instructions of Fire Wardens. The use of lifts is prohibited during an evacuation.
4,"The document outlines the locations of evacuation staircases at levels 3 and 4, which are labeled as Staircases 1-5. These staircases are designated as emergency exits and should only be used in case of an evacuation. The Main Lift Lobby is also mentioned as a potential evacuation route. It is important for administrators to be familiar with these locations in case of an emergency."
5,"In case of a fire alarm, evacuate the building immediately by using the nearest exit door and walking quickly and orderly down the staircase. Do not bring any belongings or use the lifts, as they will be deactivated. The assembly point is located at the carpark in front of the I-Cube entrance. Do not re-enter the building unless instructed by the Fire Safety Coordinator or SCDF Officer."
6,"The briefing reminds administrators to take note of the emergency exit at each level and to be aware of the location of fire extinguishers, which can be found in all classrooms and at critical points on each floor. This information is crucial for ensuring the safety of students and staff in case of an emergency."
7,"The NUS campus offers WIFI connectivity through the ""NUS-Guest"" network and encourages the use of e-copies of course notes and biodegradable cutleries to support sustainability. Students are advised to switch their mobile devices to silent or vibration mode during classes to avoid disruptions. Smoking is strictly prohibited on campus. These are important guidelines to keep in mind while on campus."
8,"The document states that all food and drinks should only be consumed in Bisstro at level 3, and that the dress code for class is smart casual with no slippers, shorts, or singlets allowed. It also encourages attendees to provide feedback on the course."
9,"All staff and students at NUS-ISS have a responsibility to keep the facilities clean for the next user. This includes properly disposing of food items and containers at Bisstro's bins and utilizing the CoE, which is open for all students and participants. Shuttle service is also available for transportation to and from NUS-ISS, with specific timings and pick-up/drop-off points. It is important for students to be at the pick-up point at least five minutes before the stated time to avoid missing the bus. Please note that the shuttle service does not run on Saturdays in December and on Sundays and public holidays."
10,":

The main entrance must be used to enter the NUS-ISS building. Lights and air-con must be switched off when leaving a room. Amenities and facilities such as vending machines, nursing and prayer rooms, and parking for motorcycles, cars, and bicycles are available. However, furniture in classrooms and common areas should not be moved, and sleeping or resting in common areas is not allowed. Additionally, it is important to not rest feet on chairs or furniture."
11,"The document provides links to the various social media platforms of the NUS Institute of Systems Science (ISS), including Facebook, Instagram, YouTube, LinkedIn, and their official website. These platforms serve as communication channels for the ISS to engage with their audience and share updates, events, and other relevant information. The links are provided for easy access and to encourage followers to stay connected with the ISS."
