Page,Summary
Page 1,Charles Master of Technology in Enterprise Business Analytics Aug-2024 FT Intake (BA11 FT) AY2024 / 2025 Semester 1 Timetable July - November 2024 EBA5001 Graduate Certificate in Analytics Statistics for
Page 2,EBA5002 Graduate Certificate in Business Analytics Practice Statistics Bootcamp II Maowen Data Analytics Process and Best Practice II Wangdong Predictive Analytics - Insights of Trends and Irregularities Wangd
Page 3,"AY2024 / 2025 Semester 1 Exam Time Graduate Certificate(s) EBA5001 Analytics Project Management ISY5001 Intelligent Reasoning Systems SWE5001 Architecting Scalable Systems . 6 Nov, 6 Nov"
Page 4,EBA5003 Graduate Certificate in Customer Analytics Customer Analytics Master of Technology in Enterprise Business Analytics Aug-2024 FT Intake (BA11 FT)
Page 5,Zhenzhen EBA5004 Graduate Certificate in Practical Language Processing New Media and Sentiment Mining Aobo Text Processing Using Machine Learning .
Page 6,Course: Course Manager: DateDay Time 10 Feb 2025 Monday 9:00am - 5:00pm 11 Feb 2075 Tuesday 9:00am-5:00pm 12 Feb 20 25 Wednesday 9:00am-15:00pm 13 February 2025 Thursday 9:00am-25:00
Page 7,Course: Course Manager: Date Day Time 13 Jan 2025 Monday 9:00am - 5:00pm 14 Jan 20 25 Tuesday 9:00am-5:00pm 15 Jan 2026 Wednesday 9:00am-15:00pm EBA5006 Graduate Certificate in Big Data
Page 8,Course: Course Manager: Date Day Time 17 Feb 2025 Monday 9:00am - 5:00pm 18 Feb 20 25 Tuesday 9:00am-5:00pm 26 Feb 2026 Wednesday 9:00am-5:30pm 15 Feb-2025 Saturday 9:00am-4
Page 9,"AY2024 / 2025 Semester 2 Exam Time Graduate Certificate (s) Exam Dates may be subject to change due to unforeseen circumstances, if applicable."
Overall Summary,AY2024 / 2025 Semester 2 Timetable January - May 2025 . a 'non-smoking' course is a one-day course based on a two-week course . the course is open to all students from a variety of backgrounds and backgrounds .
